10135: {0, 1, 2, 3, 4, 5, 6, 7}
10136: {0, 3, 4, 8, 9, 10, 11, 12}
10140: {1, 4, 5, 6, 7, 9, 13, 14}
10146: {0, 1, 2, 3, 4, 5, 6, 7}
10154: {0, 1, 2, 4, 5, 7, 11, 14}
10155: {0, 3, 4, 5, 7, 9, 15, 16}
10157: {0, 3, 4, 5, 6, 9, 15, 17}
10158: {0, 1, 3, 7, 10, 11, 18, 19}
10165: {0, 1, 3, 4, 5, 6, 17, 18}
10170: {0, 1, 3, 4, 5, 6, 7, 9}
10185: {0, 1, 2, 3, 4, 5, 6, 7}
10208: {0, 1, 2, 3, 4, 5, 12, 16}
10245: {3, 6, 7, 10, 15, 18, 19, 20}
10257: {3, 4, 5, 6, 7, 9, 15, 20}
10279: {0, 1, 2, 3, 7, 11, 21, 22}
10299: {6, 7, 9, 10, 14, 15, 19, 20}
10329: {0, 1, 2, 3, 10, 12, 16, 19}
10397: {2, 4, 5, 6, 7, 13, 14, 15}
10408: {0, 3, 4, 5, 6, 8, 9, 17}
10423: {2, 4, 5, 6, 7, 8, 13, 14}
10431: {2, 3, 4, 5, 8, 12, 13, 16}
10434: {0, 3, 4, 5, 6, 7, 8, 9}
10469: {2, 3, 4, 5, 6, 15, 17, 20}
10529: {0, 1, 2, 4, 5, 6, 7, 23}
10551: {3, 7, 9, 10, 15, 16, 19, 20}
10561: {0, 3, 4, 5, 9, 11, 15, 17}
10577: {0, 1, 3, 4, 5, 9, 11, 17}
10581: {2, 4, 5, 6, 13, 15, 17, 23}
10599: {0, 1, 3, 4, 5, 6, 9, 17}
10620: {0, 1, 3, 5, 9, 16, 17, 21}
10627: {0, 2, 4, 5, 6, 7, 14, 15}
10685: {0, 1, 2, 3, 4, 5, 7, 11}
10693: {2, 4, 5, 8, 13, 16, 17, 23}
10713: {0, 3, 4, 5, 6, 9, 15, 17}
10721: {2, 4, 5, 6, 7, 8, 14, 20}
10728: {0, 1, 3, 4, 5, 7, 11, 18}
10731: {0, 1, 3, 4, 5, 6, 9, 12}
10732: {0, 1, 3, 4, 5, 6, 12, 18}
10747: {2, 3, 4, 5, 7, 11, 15, 20}
10754: {0, 1, 6, 10, 14, 17, 18, 19}
10779: {0, 1, 3, 4, 5, 6, 7, 18}
10781: {0, 1, 2, 3, 4, 5, 6, 7}
10785: {2, 3, 5, 6, 12, 15, 20, 21}
10792: {0, 2, 4, 5, 7, 8, 16, 23}
10800: {0, 1, 2, 3, 4, 5, 16, 17}
10821: {2, 4, 5, 8, 16, 17, 20, 23}
10849: {0, 2, 3, 6, 10, 15, 17, 21}
